Number of Queries,Version 1 Cumulative T1 (ms),Version 1 Cumulative T2 (ms),Version 1 Cumulative T3 (ms),Version 1 Average Cumulative T (ms),Version 3 Cumulative T1 (ms),Version 3 Cumulative T2 (ms),Version 3 Cumulative T3 (ms),Version 3 Average Cumulative T (ms)
1,8,8,8,8,107,98,105,103.3333333
2,17,15,17,16.33333333,107,98,105,103.3333333
3,25,23,25,24.33333333,107,98,105,103.3333333
4,34,30,33,32.33333333,107,98,105,103.3333333
5,43,37,43,41,107,98,105,103.3333333
6,52,45,52,49.66666667,107,98,105,103.3333333
7,61,53,62,58.66666667,107,98,105,103.3333333
8,69,61,71,67,107,98,105,103.3333333
9,77,69,80,75.33333333,107,98,105,103.3333333
10,85,76,88,83,107,98,105,103.3333333
11,93,83,97,91,107,98,105,103.3333333
12,101,91,107,99.66666667,107,98,105,103.3333333
13,109,98,116,107.6666667,107,98,105,103.3333333
14,118,105,125,116,107,98,105,103.3333333
15,126,112,134,124,107,98,105,103.3333333
