Version,Time,Cumulative T1 (ms),Cumulative T2 (ms),Cumulative T3 (ms)
Version 2,1,30,23,22
Version 4,1,141,125,117
Version 2,2,37,39,35
Version 4,2,0,0,0
Version 2,3,17,13,13
Version 4,3,0,0,0
Version 2,4,14,17,12
Version 4,4,0,0,0
Version 2,5,18,14,13
Version 4,5,0,0,0
Version 2,6,19,12,12
Version 4,6,0,0,0
Version 2,7,30,28,44
Version 4,7,0,0,0
Version 2,8,18,14,13
Version 4,8,0,0,0
Version 2,9,14,13,11
Version 4,9,0,0,0
Version 2,10,16,12,12
Version 4,10,0,0,0
Version 2,11,12,12,12
Version 4,11,0,0,0
Version 2,12,19,22,13
Version 4,12,0,0,0
Version 2,13,26,26,22
Version 4,13,0,0,0
Version 2,14,34,22,22
Version 4,14,0,0,0
Version 2,15,12,23,16
Version 4,15,0,0,0
